,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount,stage,year_funded
807,Camp K12,2015,Gurgaon,Education & Training,It connects students with tutors online,"Anshul Bhagi, Sandeep Bhagi","Matrix Partners, SAIF Partners",4000000.0,Validation,2020-01-01
808,MedGenome,2013,Bengaluru,Health care,Genetic diagnostic testing company,Sam Santhosh,LeapFrog Investments,55000000.0,Scaling,2020-01-01
809,Ergos,2015,Bengaluru,Agriculture & Environment,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,"Kishor Jha, Praveen Kumar",Aavishkar Capital,4598000.0,Early Traction,2020-01-01
810,Nykaa,2012,Mumbai,Retail & E-commerce,Deals in cosmetic and wellness products,Falguni Nayar,Steadview capital,13137000.0,Early Traction,2020-01-01
811,Samadhan,2018,Delhi,Finance sector,They help find solutions to insurance related issues,"Deepak Bhuvneshwari Uniyal, Shilpa Arora, Shailesh Kumar, Sanjay Aggarwal",Venture Catalysts,3000000.0,Validation,2020-01-01
812,SaScan,2015,Bengaluru,Health care,Cancer diagnostics startup,Subhash Narayanan,Unicorn India ventures,3000000.0,Early Traction,2020-01-01
813,Lido Learning,2015,Mumbai,Education & Training,Online teaching service,Sahil Sheth,"Pecus Capital, Madhur Deora",3000000.0,Early Traction,2020-01-01
814,CureFit,2016,Bengaluru,Health care,"Integrated platform for food, fitness and meditation.","Mukesh Bansal, Ankit Nagori",Temasek,115000000.0,Scaling,2020-01-01
815,Nimesa,2018,Bengaluru,Technology sector,Cloud data managemnt solutions enterprise,"Tapesh Goyal, Rajesh Vaidhyanathan",Ideaspring capital,3000000.0,Early Traction,2020-01-01
816,Design X,2015,Uttar Pradesh,Technology sector,Builds IoT based products,Preet Arjun Singh,ThinkNext LLC,200000.0,Validation,2020-01-01
817,Driftly Electric,2015,Bengaluru,Industrial & Manufacturing,Electric vehicle startup,Sneha Roy,MG Motor India,3000000.0,Early Traction,2020-01-01
818,Imstrong,2019,Bengaluru,Health care,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter,400000.0,Validation,2020-01-01
819,Craftsvilla,2015,Mumbai,Retail & E-commerce,Online marketplace for ethnic wear,Monica Gupta. Manoj Gupta,Supera Investments,3900000.0,Early Traction,2020-01-01
820,Rupifi,2020,Bengaluru,Finance sector,Offers financial products for SMEs,"Anubhav Jain, Ankit Singh, Jawaid Iqbal","Ashneer Grover, Kunal Shah, Ramakant Sharma",3000000.0,Ideation,2020-01-01
821,SnackAmor,2015,Mumbai,Food & Beverage,It offers various healthy snacks,Deepak Grover,Undisclosed,3000000.0,Validation,2020-01-01
822,Zealthy,2019,Bengaluru,Health care,"It connects women to healthproviders for specialities like infertility, maternity etc.,","Rishi Malhotra, Akhil Gupta","KYT Ventures, First Cheque, AngelList",3000000.0,Validation,2020-01-01
823,CoinDCX,2015,Bengaluru,Finance sector,A cryptocurrency trading platform,Sumit Gupta,"Polychain Capital, Bain Capital Ventures, HDR Group",3000000.0,Early Traction,2020-01-01
824,NuNu TV,2015,Bengaluru,Media & Entertainment,Kids-focussed Youtube channel,Byju Raveendran,Risers Accelerators,670000.0,Early Traction,2020-01-01
825,QTalk,2015,Bengaluru,Technology sector,Smart Phone Dialer,"Sagar Modi, Advaith Vishwanath","Accel India, Lightspeed Venture Partners",1600000.0,Validation,2020-01-01
826,Shadez,2018,Mumbai,Real Estate & Construction,Paint Company,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,100000.0,Validation,2020-01-01
827,Excess2Sell,2015,Mumbai,Retail & E-commerce,B2B Marketplace for Overstock & Surplus Inventory,Rajan Sharma,Gautham Madhavan,1000000.0,Early Traction,2020-01-01
828,Stanplus,2016,Hyderabad,Health care,Ambulance service,Prabhdeep Singh,Pegasus FinInvest,1500000.0,Early Traction,2020-01-01
829,Pitstop,2015,Bengaluru,Industrial & Manufacturing,Doorstep car service,Mihir Mohan mishra,TPG-backed Group Landmark,2500000.0,Early Traction,2020-01-01
830,Univariety,2015,Hyderabad,Education & Training,Online marketplace that provides career counselling and college guidance,Jaideep Gupta,Info Edge,1100000.0,Early Traction,2020-01-01
831,Peel Works,2010,Mumbai,Technology sector,E-commerce for corner/retail stores.,"Sachin Chhabra, Nidhi Ramachandran",CESC Ventures,3000000.0,Scaling,2020-01-01
832,CoreStack,2016,Tamil Nadu,Technology sector,Enterprise cloud governance technology startup,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar NB",Naya Ventures,8500000.0,Early Traction,2020-01-01
833,Vivriti Capital,2017,Tamil Nadu,Finance sector,Digital lending startup,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada,50000000.0,Scaling,2020-01-01
834,Agnikul,2015,Tamil Nadu,Technology sector,"It designs, fabricates, tests and launch orbital class launch vehicles",Srinath Ravichandran,pi Ventures,3148000.0,Early Traction,2020-01-01
835,Fintso,2020,Bengaluru,Finance sector,Wealth management platform,"George Mitra, Rajan Pathak","Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta",2600000.0,Early Traction,2020-01-01
836,Khatabook,2015,Bengaluru,Finance sector,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,Mahendra Singh Dhoni,3000000.0,Early Traction,2020-01-01
837,Smart Coin,2015,Bengaluru,Finance sector,Consumer lending startup,"Amit Chandel, Rohit Garg, Vinay Kumar, Jayant Upadhyay",LGT LightstoneAspada,7000000.0,Early Traction,2020-01-01
838,ZunRoof,2016,Gurgaon,Agriculture & Environment,"It specialises in solar rooftop design, installation, and management using technology","Pranesh Chaudhary, Sushant Sachan",Godrej Investments,3000000.0,Early Traction,2020-01-01
839,Shop101,2015,Bengaluru,Retail & E-commerce,Enables entrepreneurs to sell online,"Abhinav Jain, Aditya Gupta","Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital",3900000.0,Scaling,2020-01-01
840,OM Bhakti,2015,Bengaluru,Media & Entertainment,A puja cotton-wicks manufacturing startup,"Sridhar Joshi, Prashant Kulkarni",Venture Catalysts,3000000.0,Validation,2020-01-01
841,Lal10,2016,Uttar Pradesh,Technology sector,It helps Indian artisans and SMEs reach out to global retailers,"Maneet Gohil, Sanchit Govil, Albin Jose",Sorenson Impact,1100000.0,Early Traction,2020-01-01
842,Anaxee Digital Runner,2016,Indore,Technology sector,A tech-enabled ID verification and data collection startup,"Govind Agrawal, Arti Agrawal",Orios Venture Partners,3000000.0,Early Traction,2020-01-01
843,CollegeKhabri,2019,Bhopal,Education & Training,Platform is an end-to-end college and career counselling platform for students,Arshi Khan,Vishal Dixit,3000000.0,Early Traction,2020-01-01
844,Ola Electric,2015,Bengaluru,Logistics & Transportation,Electric vehicle,"Ankit Jain, Anand Shah",Pawan Munjal Family Trust Fund,1000000.0,Early Traction,2020-01-01
845,Multi Living,2015,Mumbai,Real Estate & Construction,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",Pankaj Singh,Lodha Ventures,6000000.0,Early Traction,2020-01-01
846,FamPay,2015,Bengaluru,Finance sector,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000.0,Validation,2020-01-01
