,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount,stage,year_funded
0,Aqgromalin,2019,Tamil Nadu,Agriculture & Environment,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel investors,200000.0,Early Traction,2020-01-01
1,Krayonnz,2019,Bengaluru,Education & Training,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000.0,Ideation,2020-01-01
2,PadCare Labs,2018,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,3000000.0,Ideation,2020-01-01
3,NCOME,2020,Delhi,Finance sector,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000.0,Early Traction,2020-01-01
4,Gramophone,2016,Indore,Agriculture & Environment,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000.0,Early Traction,2020-01-01
5,qZense,2019,Bengaluru,Agriculture & Environment,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Validation,2020-01-01
6,MyClassboard,2008,Hyderabad,Education & Training,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,ICICI Bank.,600000.0,Early Traction,2020-01-01
7,Metvy,2018,Gurgaon,Communication & Networking,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,3000000.0,Early Traction,2020-01-01
8,Rupeek,2015,Bengaluru,Finance sector,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000.0,Scaling,2020-01-01
9,Gig India,2017,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Early Traction,2020-01-01
10,Slurrp Farm,2016,Gurgaon,Food & Beverage,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Early Traction,2020-01-01
11,Medfin,2017,Bengaluru,Health care,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",3000000.0,Early Traction,2020-01-01
12,MasterG,2015,Delhi,Retail & E-commerce,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund's angel programme,3000000.0,Early Traction,2020-01-01
13,Brila 91,2014,Delhi,Food & Beverage,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Early Traction,2020-01-01
14,FoodyBuddy,2015,Belgaum,Food & Beverage,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000.0,Early Traction,2020-01-01
15,Zomato,2008,Gurgaon,Food & Beverage,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",660000000.0,Early Traction,2020-01-01
16,OurEye.ai,2020,Bengaluru,Technology sector,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",120000.0,Early Traction,2020-01-01
17,Shiprocket,2017,Delhi,Retail & E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000.0,Scaling,2020-01-01
18,Pine Labs,1998,Uttar Pradesh,Finance sector,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Amrish Rau,"Mastercard, Temasek Holdings",3000000.0,Early Traction,2020-01-01
19,Moneyboxx Finance,2019,Delhi,Finance sector,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal,"BlackSoil, Caspian",1000000.0,Early Traction,2020-01-01
20,EWar,2019,Bengaluru,Media & Entertainment,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",3000000.0,Early Traction,2020-01-01
21,SucSEED Indovation,2016,Hyderabad,Finance sector,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,Venture Catalysts,5000000.0,Early Traction,2020-01-01
22,TaxBuddy.com,2019,Mumbai,Finance sector,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000.0,Early Traction,2020-01-01
23,Awign Enterprises,2016,Bengaluru,Work fulfillment,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",500000.0,Early Traction,2020-01-01
24,Circle of Angels,2018,Gurgaon,Finance sector,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,Venture Catalysts,3000000.0,Early Traction,2020-01-01
25,CoinDCX,2017,Mumbai,Finance sector,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000.0,Scaling,2020-01-01
26,Glance,2016,Bengaluru,Technology sector,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000.0,Early Traction,2020-01-01
27,VerSe Innovation,2007,Bengaluru,Communication & Networking,Owner of Dailyhunt App and I-Pay,Virendra Gupta,Google,100000000.0,Early Traction,2020-01-01
28,Voosh,2020,Bengaluru,Food & Beverage,Building India's largest digital food service brand,Priyam Saraswat,Better Capital,3000000.0,Ideation,2020-01-01
29,Delhivery,2011,Gurgaon,Retail & E-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",3000000.0,Early Traction,2020-01-01
30,Arya,1982,Uttar Pradesh,Agriculture & Environment,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,21000000.0,Scaling,2020-01-01
31,Pickrr,2015,Delhi,Logistics & Transportation,Pickrr is an on-demand first mile logistics company,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,4000000.0,Early Traction,2020-01-01
32,PhonePe,2015,Maharashtra,Finance sector,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",20000000.0,Early Traction,2020-01-01
33,Countingwell,2018,Bengaluru,Education & Training,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000.0,Early Traction,2020-01-01
34,Callify.ai,2016,Mumbai,Technology sector,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Validation,2020-01-01
35,Hudle,2016,Delhi,Media & Entertainment,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain,Survam Partners,3000000.0,Early Traction,2020-01-01
36,Cover it Up,2013,Tamil Nadu,Retail & E-commerce,Online portal that churns out high quality products,Ronak Sarda,Angel investors,400000.0,Validation,2020-01-01
37,BiteSpeed,2019,Gurgaon,Retail & E-commerce,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000.0,Validation,2020-01-01
38,WakeFit,2016,Bengaluru,Retail & E-commerce,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000.0,Scaling,2020-01-01
39,Sreyas Holistic Remedies,2008,Hyderabad,Education & Training,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Dr Prashant Soma,Blacksoil,1000000.0,Early Traction,2020-01-01
40,Fleeca India,2016,Jaipur,Industrial & Manufacturing,FLEECA is a Tyre Care Provider company.,Tikam Jain,Bridgestone India,3000000.0,Early Traction,2020-01-01
41,M1xchange,2017,Gurgaon,Finance sector,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,"BEENEXT, Mayfield Fund",4500000.0,Early Traction,2020-01-01
42,Exotel,2011,Bengaluru,Technology sector,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",5000000.0,Early Traction,2020-01-01
43,PagarBook,2019,Bengaluru,Technology sector,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000.0,Early Traction,2020-01-01
44,PointOne Capital,2020,Bengaluru,Finance sector,Pre-seed/Seed focussed VC investor,Mihir Jha,Venture Catalysts,3000000.0,Early Traction,2020-01-01
45,Ayana,2017,Bengaluru,Energy & utility,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N,"NIIF Ltd, CDC Group",390000000.0,Early Traction,2020-01-01
46,Fisdom,2015,Bengaluru,Finance sector,Fisdom is a fintech company that offers investment advisory services through an application.,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",7000000.0,Early Traction,2020-01-01
47,Tinker Coders,2020,Uttar Pradesh,Education & Training,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam,STEMROBO Technologies,3000000.0,Validation,2020-01-01
48,Infinite Uptime,2015,Pune,Technology sector,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Scaling,2020-01-01
49,HappyLocate,2016,Bengaluru,Technology sector,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,500000.0,Early Traction,2020-01-01
50,PhonePe,2015,Delhi,Finance sector,PhonePe is a mobile payments application that allows the user to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,700000000.0,Early Traction,2020-01-01
51,Loop Health,2017,Pune,Health care,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000.0,Validation,2020-01-01
52,NeoDocs,2020,Mumbai,Health care,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,3000000.0,Ideation,2020-01-01
53,The ePlane,2016,Tamil Nadu,Industrial & Manufacturing,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,3000000.0,Validation,2020-01-01
54,TagMango,2019,Mumbai,Media & Entertainment,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000.0,Validation,2020-01-01
55,The New Shop,2019,Delhi,Retail & E-commerce,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000.0,Validation,2020-01-01
56,MobiKwik,2009,Gurgaon,Finance sector,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",7000000.0,Early Traction,2020-01-01
57,DebugsBunny,2020,Pune,Education & Training,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare,India Angel Fund,100000.0,Early Traction,2020-01-01
58,BHIVE Investech,2014,Bengaluru,Real Estate & Construction,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,1000000.0,Validation,2020-01-01
59,Rivigo,2014,Gurgaon,Logistics & Transportation,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",19000000.0,Early Traction,2020-01-01
60,ZipLoan,2015,Delhi,Finance sector,ZipLoan is a online lending platform,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",3000000.0,Early Traction,2020-01-01
61,Swipez,2014,Pune,Finance sector,Swipez is a payment collection platform.,Vivek Iyer,"9Unicorns, Anicut",3000000.0,Early Traction,2020-01-01
62,Humus,2019,Bengaluru,Agriculture & Environment,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",3000000.0,Early Traction,2020-01-01
63,Artivatic.ai,2017,Bengaluru,Technology sector,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Layak Singh,"SenseAI Ventures, Saurabh Chugh",3000000.0,Early Traction,2020-01-01
64,Prescinto,2016,Ahmedabad,Energy & utility,Prescinto provides solutions for solar monitoring and analytics solutions.,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",3000000.0,Validation,2020-01-01
65,Toppeq,2019,Mumbai,Technology sector,SaaS-based equity management platform,Nandini Sankar,Venture Catalysts,3000000.0,Validation,2020-01-01
66,Bolo Indya,2019,Gurgaon,Media & Entertainment,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",400000.0,Early Traction,2020-01-01
67,Bombay Play,2017,Bengaluru,Media & Entertainment,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000.0,Validation,2020-01-01
68,FreshToHome,2015,Bengaluru,Retail & E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,Investment Corporation of Dubai (ICD),3000000.0,Early Traction,2020-01-01
69,KIKO TV,2020,Mumbai,Media & Entertainment,KIKO TV is an AI-based short live video e-commerce platform.,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",3000000.0,Validation,2020-01-01
70,Atomberg Technologies,2012,Mumbai,Retail & E-commerce,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",9000000.0,Scaling,2020-01-01
71,DealShare,2018,Jaipur,Retail & E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000.0,Scaling,2020-01-01
72,Smallcase,2015,Bengaluru,Finance sector,Changing how India invests in equities,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT",3000000.0,Early Traction,2020-01-01
73,CueMath,2011,Bengaluru,Education & Training,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma,"Sequoia Capital India, CapitalG",40000000.0,Scaling,2020-01-01
74,Gamerji,2018,Ahmedabad,Media & Entertainment,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.","Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,3000000.0,Validation,2020-01-01
75,5C Network,2014,Bengaluru,Health care,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1200000.0,Early Traction,2020-01-01
76,Ethereum Push Notification Service,2020,Mumbai,Technology sector,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,750000.0,Validation,2020-01-01
77,Mihup,2016,Kolkata,Communication & Networking,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000.0,Early Traction,2020-01-01
78,RuralBasket,2019,Tamil Nadu,Retail & E-commerce,Naturally grown and healthy products directly from farmers.,Palani Rajan,Nativelead Foundation,500000.0,Early Traction,2020-01-01
79,WayCool Foods,2015,Tamil Nadu,Agriculture & Environment,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",7800000.0,Exit Options,2020-01-01
80,Infra.Market,2016,Maharashtra,Real Estate & Construction,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Scaling,2020-01-01
81,Info Edge Venture,1995,Uttar Pradesh,Finance sector,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Sanjeev Bikhchandani,Lightbox,50000000.0,Early Traction,2020-01-01
82,Clovia,2013,Uttar Pradesh,Retail & E-commerce,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000.0,Scaling,2020-01-01
83,Codingal,2020,Bengaluru,Education & Training,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Validation,2020-01-01
84,CRED,2018,Bengaluru,Finance sector,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",80000000.0,Scaling,2020-01-01
85,Vistaar Finance,2010,Bengaluru,Finance sector,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,"Brahmanad, Ramakrishna Nishtala",FMO,30000000.0,Early Traction,2020-01-01
86,Let's Dive,2020,Bengaluru,Communication & Networking,A platform for remote employee engagement and building team culture,"Nitesh Agrawal, Om Prakash",Surge,1700000.0,Early Traction,2020-01-01
87,Habitat,2016,Bengaluru,Education & Training,"Habitat, a social learning edtech platform for civil service aspirants","Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital",600000.0,Validation,2020-01-01
88,SAWO Labs,2020,Mumbai,Communication & Networking,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",600000.0,Validation,2020-01-01
89,Signzy,2015,Bengaluru,Communication & Networking,Signzy are creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",3000000.0,Early Traction,2020-01-01
90,KopyKitab,2013,Bengaluru,Education & Training,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand",3000000.0,Early Traction,2020-01-01
91,Kyt,2020,Singapore,Education & Training,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,2500000.0,Early Traction,2020-01-01
92,Raskik,2019,Bengaluru,Food & Beverage,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",1000000.0,Early Traction,2020-01-01
93,GetWork,2019,Gurgaon,Consumer Services,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000.0,Ideation,2020-01-01
94,Mobile Premier League (MPL),2018,Bengaluru,Media & Entertainment,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000.0,Scaling,2020-01-01
95,Pravasirojgar,2020,Bengaluru,Consumer Services,Initiative for blue-collar job workers,Sonu Sood,GoodWorker.,33000000.0,Early Traction,2020-01-01
96,Omatra Hotels,2017,Kolkata,Health care,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,3000000.0,Validation,2020-01-01
97,Awign,2016,Bengaluru,Consumer Services,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",3000000.0,Scaling,2020-01-01
98,NewsReach,2018,Anand,Media & Entertainment,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000.0,Validation,2020-01-01
99,Cashfree,2015,Bengaluru,Finance sector,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000.0,Scaling,2020-01-01
100,Credgenics,2018,Delhi,Finance sector,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Early Traction,2020-01-01
101,GeoIQ,2018,Bengaluru,Technology sector,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000.0,Validation,2020-01-01
102,Country Delight,2015,Haryana,Food & Beverage,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",25000000.0,Scaling,2020-01-01
103,Quintype,2014,Bengaluru,Media & Entertainment,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Chirdeep Shetty,IIFL AMC,3500000.0,Early Traction,2020-01-01
104,CARS24,2015,Haryana,Retail & E-commerce,CARS24 is an India-based platform for selling used cars.,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",200000000.0,Scaling,2020-01-01
105,Astrogate Labs,2017,Bengaluru,Technology sector,Astrogate Labs provides high-quality products related to space infrastructure.,Byju Raveendran,"Venture Catalysts, Speciale Invest",3000000.0,Early Traction,2020-01-01
106,Power Gummies,2018,Delhi,Health care,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,Venture Catalysts,3000000.0,Scaling,2020-01-01
107,Cityflo,2015,Mumbai,Logistics & Transportation,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000.0,Early Traction,2020-01-01
108,AlgoBulls,2019,Mumbai,Communication & Networking,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,200000.0,Early Traction,2020-01-01
109,Credgenics,2018,Gurgaon,Finance sector,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Early Traction,2020-01-01
110,Inntot,2014,Kerala,Technology sector,"Inntot Technologies, is a technology driven company.",Rajith Nair,Unicorn India Ventures,3000000.0,Early Traction,2020-01-01
111,Ensuredit,2019,Gurgaon,Finance sector,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,300000.0,Early Traction,2020-01-01
112,Shipsy,2015,Gurgaon,Technology sector,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",6000000.0,Early Traction,2020-01-01
113,ERPNext,2008,Mumbai,Technology sector,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rushabh Mehta,Rainmatter,1000000.0,Early Traction,2020-01-01
114,LightSpeedAI,2019,Bengaluru,Technology sector,Developer of an optoelectronic processor designed to accelerate AI computations.,"Rohin Y, PV Ramana","YourNest, growX ventures",3000000.0,Early Traction,2020-01-01
115,Grip Invest,2020,Gurgaon,Finance sector,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,3000000.0,Early Traction,2020-01-01
116,Unacademy,2015,Bengaluru,Education & Training,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management",3000000.0,Early Traction,2020-01-01
117,Yellow Classes,2020,Gurgaon,Education & Training,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,1300000.0,Early Traction,2020-01-01
118,Plum,2019,Bengaluru,Health care,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",4100000.0,Early Traction,2020-01-01
119,STAGE,2019,Indore,Media & Entertainment,STAGE is an Indian language content platform for artist-led entertainment.,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,1000000.0,Early Traction,2020-01-01
120,Nykaa,2012,Mumbai,Retail & E-commerce,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",3000000.0,Early Traction,2020-01-01
121,Kaagaz Scanner,2020,Bengaluru,Technology sector,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,575000.0,Early Traction,2020-01-01
122,NIRA,2017,Bengaluru,Finance sector,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",1000000.0,Early Traction,2020-01-01
123,Prolixr,2018,Gurgaon,Logistics & Transportation,A premium skincare brand committed towards building innovative skin care wellness.,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",3000000.0,Validation,2020-01-01
124,Byju's,2011,Bengaluru,Education & Training,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",200000000.0,Early Traction,2020-01-01
125,DaMENSCH,2018,Bengaluru,Retail & E-commerce,DaMENSCH is a designer and seller of men's apparel.,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",6000000.0,Early Traction,2020-01-01
126,Country Delight,2015,Haryana,Food & Beverage,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",25000000.0,Scaling,2020-01-01
127,SignalX,2018,Hyderabad,Technology sector,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Validation,2020-01-01
128,Lancify,2018,Bengaluru,Education & Training,Lancify is building the world's strongest young workforce,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000.0,Early Traction,2020-01-01
